id:ID,label,name,file_path,complexity,size
artifact_e8a886ab,Artifact,,sample_data\issue_tracker\agents\CreateIssueAgent.lss,,
artifact_197bc86e,Artifact,,sample_data\issue_tracker\agents\GetIssues.lss,,
artifact_68c2dad0,Artifact,,sample_data\issue_tracker\agents\IssuesJSONAgent.lss,,
artifact_1c834992,Artifact,,sample_data\issue_tracker\agents\LogFieldChanges.lss,,
artifact_2fe1f4f7,Artifact,,sample_data\issue_tracker\agents\NotifyOnAssignment.lss,,
artifact_34fca52e,Artifact,,sample_data\issue_tracker\agents\PostIssue.lss,,
artifact_266acfb4,Artifact,,sample_data\issue_tracker\agents\SLAUpdater.lss,,
artifact_fd183bc0,Artifact,,sample_data\issue_tracker\scriptlibraries\ls\IssueUtils.lss,,
artifact_55862d5e,Artifact,,sample_data\issue_tracker\scriptlibraries\ls\NotificationUtils.lss,,
artifact_aa46d55c,Artifact,,sample_data\issue_tracker\scriptlibraries\ls\SLAUtils.lss,,
lss_file_CreateIssueAgent.lss_d8084587,Procedure,lss_file_CreateIssueAgent.lss_d8084587,sample_data\issue_tracker\agents\CreateIssueAgent.lss,8,1168
lss_block_Initialize_01f187b1,Procedure,Initialize,sample_data\issue_tracker\agents\CreateIssueAgent.lss,8,1112
lss_file_GetIssues.lss_d8a1e759,Procedure,lss_file_GetIssues.lss_d8a1e759,sample_data\issue_tracker\agents\GetIssues.lss,3,905
lss_block_Initialize_ce71e012,Procedure,Initialize,sample_data\issue_tracker\agents\GetIssues.lss,3,863
lss_file_IssuesJSONAgent.lss_c65ddbc0,Procedure,lss_file_IssuesJSONAgent.lss_c65ddbc0,sample_data\issue_tracker\agents\IssuesJSONAgent.lss,5,1421
lss_block_Initialize_24ff79eb,Procedure,Initialize,sample_data\issue_tracker\agents\IssuesJSONAgent.lss,3,1086
lss_block_EscapeJSON_d2ac86e4,Procedure,EscapeJSON,sample_data\issue_tracker\agents\IssuesJSONAgent.lss,2,318
lss_file_LogFieldChanges.lss_c298d757,Procedure,lss_file_LogFieldChanges.lss_c298d757,sample_data\issue_tracker\agents\LogFieldChanges.lss,3,595
lss_block_Initialize_b9d31676,Procedure,Initialize,sample_data\issue_tracker\agents\LogFieldChanges.lss,3,562
lss_file_NotifyOnAssignment.lss_db3ffca7,Procedure,lss_file_NotifyOnAssignment.lss_db3ffca7,sample_data\issue_tracker\agents\NotifyOnAssignment.lss,5,490
lss_block_Initialize_170f7b12,Procedure,Initialize,sample_data\issue_tracker\agents\NotifyOnAssignment.lss,5,437
lss_file_PostIssue.lss_c6d796a9,Procedure,lss_file_PostIssue.lss_c6d796a9,sample_data\issue_tracker\agents\PostIssue.lss,1,770
lss_block_Initialize_18906a31,Procedure,Initialize,sample_data\issue_tracker\agents\PostIssue.lss,1,735
lss_file_SLAUpdater.lss_c6fda014,Procedure,lss_file_SLAUpdater.lss_c6fda014,sample_data\issue_tracker\agents\SLAUpdater.lss,6,900
lss_block_Initialize_95eb4ba4,Procedure,Initialize,sample_data\issue_tracker\agents\SLAUpdater.lss,6,843
lss_file_IssueUtils.lss_ecc07dd3,Procedure,lss_file_IssueUtils.lss_ecc07dd3,sample_data\issue_tracker\scriptlibraries\ls\IssueUtils.lss,4,403
lss_block_GenerateIssueID_cb1357d2,Procedure,GenerateIssueID,sample_data\issue_tracker\scriptlibraries\ls\IssueUtils.lss,0,174
lss_block_LinkRelatedIssues_02e99a4a,Procedure,LinkRelatedIssues,sample_data\issue_tracker\scriptlibraries\ls\IssueUtils.lss,2,157
lss_file_NotificationUtils.lss_df5fa395,Procedure,lss_file_NotificationUtils.lss_df5fa395,sample_data\issue_tracker\scriptlibraries\ls\NotificationUtils.lss,2,360
lss_block_SendIssueNotification_c05b4ab2,Procedure,SendIssueNotification,sample_data\issue_tracker\scriptlibraries\ls\NotificationUtils.lss,2,334
lss_file_SLAUtils.lss_c0790e75,Procedure,lss_file_SLAUtils.lss_c0790e75,sample_data\issue_tracker\scriptlibraries\ls\SLAUtils.lss,7,523
lss_block_ComputeSLADeadline_a655d520,Procedure,ComputeSLADeadline,sample_data\issue_tracker\scriptlibraries\ls\SLAUtils.lss,7,492
