procedureId,artifactId,TYPE
lss_file_CreateIssueAgent.lss_d8084587,artifact_d98f2f1c,DEFINED_IN
lss_block_Initialize_01f187b1,artifact_d98f2f1c,DEFINED_IN
lss_file_GetIssues.lss_d8a1e759,artifact_ec7527c7,DEFINED_IN
lss_block_Initialize_ce71e012,artifact_ec7527c7,DEFINED_IN
lss_file_IssuesJSONAgent.lss_c65ddbc0,artifact_cd0c1173,DEFINED_IN
lss_block_Initialize_24ff79eb,artifact_cd0c1173,DEFINED_IN
lss_block_EscapeJSON_d2ac86e4,artifact_cd0c1173,DEFINED_IN
lss_file_LogFieldChanges.lss_c298d757,artifact_6690dd55,DEFINED_IN
lss_block_Initialize_b9d31676,artifact_6690dd55,DEFINED_IN
lss_file_NotifyOnAssignment.lss_db3ffca7,artifact_87a8a930,DEFINED_IN
lss_block_Initialize_170f7b12,artifact_87a8a930,DEFINED_IN
lss_file_PostIssue.lss_c6d796a9,artifact_3043c258,DEFINED_IN
lss_block_Initialize_18906a31,artifact_3043c258,DEFINED_IN
lss_file_SLAUpdater.lss_c6fda014,artifact_2ee38438,DEFINED_IN
lss_block_Initialize_95eb4ba4,artifact_2ee38438,DEFINED_IN
lss_file_IssueUtils.lss_ecc07dd3,artifact_5426b0b1,DEFINED_IN
lss_block_GenerateIssueID_cb1357d2,artifact_5426b0b1,DEFINED_IN
lss_block_LinkRelatedIssues_02e99a4a,artifact_5426b0b1,DEFINED_IN
lss_file_NotificationUtils.lss_df5fa395,artifact_6ff0ea5e,DEFINED_IN
lss_block_SendIssueNotification_c05b4ab2,artifact_6ff0ea5e,DEFINED_IN
lss_file_SLAUtils.lss_c0790e75,artifact_4dec8580,DEFINED_IN
lss_block_ComputeSLADeadline_a655d520,artifact_4dec8580,DEFINED_IN
